REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
419761;00000000419761;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA CAPITÃO MEDEIROS DE REZENDE;274;;PRAÇA DA BANDEIRA;Além Paraíba;MG;36660000;32;34624649;;contabilidade@cbnassessoria.com.br;LUIZ HENRIQUE MARENDINO GONÇALVES;SÓCIO ADMINISTRADOR;6;19/05/2015
421545;00000000421545;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;;Odontologia de Grupo;RUA CATÃO;128;SALA 126;VILA ROMANA;São Paulo;SP;5049000;11;34415852;;labmarisol@gmail.com;MARISOL BECHELLI;SÓCIO ADMINISTRADORA;4;13/06/2019
421421;00000000421421;2CARE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo;RUA: BERNARDINO DE CAMPOS;230;1º ANDAR;CENTRO;Campinas;SP;13010151;19;37901224;;ans.plano@hospitalcare.com.br;RODRIGO PINHO RIBEIRO;REPRESENTANTE;5;09/10/2018
418030;00000000418030;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;São Paulo;SP;2401000;11;45223468;;diretoria@apssaude.com.br;PERCÍVEL GAETA;SóCIO-ADMINISTRADOR E REPRESEN;4;05/05/2011
314668;00000000314668;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão;AV. BERNARDO MONTEIRO;831;Subsolo, 2º andar e 3º andar;SANTA EFIGÊNIA;Belo Horizonte;MG;30150281;31;32484300;32484377;abertta.ans@arcelormittal.com.br;WERNER DUARTE DALLA;Diretor Presidente;4;28/12/1998
419621;00000000419621;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;AVENIDA JOSÉ DA SILVA NETO;200;BLOCO 4, SALA 403;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;;;;contato@abplus.com.br;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;6;13/11/2014
418901;00000000418901;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA;AD SALUTE;Administradora de Benefícios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;JOÃO CARMO DA SILVEIRA;ADMINISTRADOR;5;13/06/2013
424293;00000000424293;ADC ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;1284;SALA 314;SANTANA;São Paulo;SP;2010200;;;;wesley@adcplasp.com.br;WESLEY LEME DE OLIVEIRA;ADMINISTRADOR;;27/01/2025
421553;00000000421553;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;São Paulo;SP;5420000;11;99475503;;cristiane@admlife.com.br;NELITO JÚNIOR DE ALMEIDA SILVA;Sócio Administrador;4;09/01/2019
416932;00000000416932;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;Avenida Valdemar Ferreira;463;;Butantã;São Paulo;SP;5501000;11;36602000;36602000;sandra@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SÓCIO ADMINISTRADOR;2;30/03/2009
422347;00000000422347;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios;AVENIDA RIO BRANCO;125;15º ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006;21;22524066;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SÓCIA ADMINISTRADORA;6;03/09/2020
335657;00000000335657;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo;RUA DOS BURITIS;128;SALA 202 - CENTRO EMPRESARIAL ZONA SUL;JABAQUARA;São Paulo;SP;4321000;;;;administrativo@advanceplano.com.br;JOSÉ JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;4;28/12/1998
